City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Roald,NO,62.58,6.13,50.0,66,100,12.75,light intensity drizzle
241,Baykit,RU,61.67,96.37,25.34,96,100,2.3,light snow
242,Kautokeino,NO,69.01,23.04,29.12,98,90,9.51,overcast clouds
243,Mount Isa,AU,-20.73,139.5,78.8,34,0,14.99,clear sky
244,Tonk,IN,26.17,75.78,72.05,23,0,7.99,clear sky
245,Resistencia,AR,-27.46,-58.98,84.2,45,0,8.05,clear sky
246,Meulaboh,ID,4.14,96.13,74.08,95,100,6.53,light rain
247,Monrovia,LR,6.3,-10.8,77.0,94,40,7.65,scattered clouds
248,Nantucket,US,41.28,-70.1,62.01,91,90,13.87,overcast clouds
249,Mahebourg,MU,-20.41,57.7,69.8,94,75,16.11,light intensity shower rain
250,Sinnamary,GF,5.38,-52.95,81.28,79,100,10.98,overcast clouds
251,Gambela,ET,8.25,34.58,69.62,87,0,4.14,clear sky
252,Ussel,FR,45.55,2.32,52.0,45,22,5.99,few clouds
253,Hirado,JP,33.36,129.55,69.01,67,20,3.36,few clouds
254,Sinop,TR,41.77,34.87,64.62,35,0,7.76,clear sky
255,Lanxi,CN,29.22,119.48,60.1,68,60,2.24,broken clouds
256,Ust-Tsilma,RU,65.44,52.15,25.02,98,100,4.45,light snow
257,Sao Filipe,CV,14.9,-24.5,81.3,71,100,7.76,overcast clouds
258,Ottappalam,IN,10.77,76.38,73.4,94,40,0.49,mist
259,Mount Gambier,AU,-37.83,140.77,53.6,46,75,21.92,broken clouds
260,Nouna,BF,12.73,-3.87,77.07,18,3,3.31,clear sky
261,Sampit,ID,-2.53,112.95,82.94,80,100,1.01,overcast clouds
262,Nome,US,64.5,-165.41,37.99,86,90,9.17,overcast clouds
263,Luxeuil-Les-Bains,FR,47.82,6.37,44.6,100,0,6.93,clear sky
264,Hongjiang,CN,27.11,110.0,62.73,66,57,1.72,broken clouds
265,Teahupoo,PF,-17.83,-149.27,86.0,66,75,8.05,shower rain
266,Imeni Poliny Osipenko,RU,52.42,136.49,38.75,91,100,22.97,light rain
267,Hovd,MN,48.01,91.64,28.17,73,0,6.98,clear sky
