City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
622,Phan Thiet,VN,79.41,few clouds,10.93,108.1,Hotel Saigon-PT
623,Zirandaro,MX,79.74,broken clouds,18.45,-100.98,Hotel Pineda
628,Santa Isabel Do Rio Negro,BR,75.79,moderate rain,-0.41,-65.02,Hotel GSA
631,Ahuimanu,US,87.8,scattered clouds,21.44,-157.84,Paradise Bay Resort
637,Karratha,AU,78.01,clear sky,-20.74,116.85,ibis Styles Karratha
641,Emerald,AU,78.01,broken clouds,-23.53,148.17,The Irish Village
649,Lokoja,NG,76.24,overcast clouds,7.8,6.74,Hotel Charvid
653,Salinopolis,BR,79.65,clear sky,-0.61,-47.36,Hotel Salinópolis
656,Winneba,GH,80.6,clear sky,5.35,-0.62,Windy Lodge & Beach Resort
658,Hervey Bay,AU,80.6,broken clouds,-25.3,152.85,Shelly Bay Resort
664,Coruripe,BR,76.86,scattered clouds,-10.13,-36.18,Pousada e Hotel Litoral Sul
665,Kismayo,SO,79.99,broken clouds,-0.36,42.55,Agan-Hotel
668,Ciudad Bolivar,VE,80.26,few clouds,8.12,-63.55,Hotel Edi
670,Trincomalee,LK,79.57,overcast clouds,8.57,81.23,Welcombe Hotel
676,Makaha,US,86.0,broken clouds,21.47,-158.22,Hawaiian Princess Resort
680,Riachao,BR,76.39,overcast clouds,-7.36,-46.62,Pousada Nordestina
681,Payo,ID,78.84,overcast clouds,-3.75,103.64,Mess keban agung
687,Nuevo Progreso,MX,78.01,few clouds,23.17,-97.95,Balneario Rio el Paraiso
688,Ca Mau,VN,80.92,light rain,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
689,Vung Tau,VN,80.51,light rain,10.35,107.08,Seaside Resort
691,Moranbah,AU,89.62,clear sky,-22.0,148.05,Direct Hotels - Monterey Moranbah
697,Celestun,MX,80.78,scattered clouds,20.87,-90.4,Posada Lilia
698,Dzaoudzi,YT,78.8,scattered clouds,-12.79,45.27,Le Rocher
699,Ballina,AU,82.4,clear sky,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
